 Frost Cyclops	2
 Lava Behemoth	2
 Gold Goblin	2
 Goblin Priest	2
 Cyclops	2
 My Castle	3
 Dimensional Tunnel	3
 Arena	3
 Summon Altar	3
 Tavern	3
 Gold Mine	3
 Witch's Lab	3
 Blacksmith	3
 Academy	3
 Dragonden	3
 Middle East Town	4
 Tropical Rainforest	4
 Lava Cave	4
 Sakura Romance	4
 Icefield Adventure	4
 Halloween Cabin	4
 Highland Waterfall	4
 Garden Depths	4
 Desert Cactus	4
 Christmas Sleigh	4
 Exotic Castle	5
 Twin Castle - Bright Moon	5
 Christmas Castle	5
 Spring Festival Castle	5
 Dragon Castle	5
