Hero	Advanced Recruitment	Free Pick	Crystal	Wheel	Other
Gabriel	FALSE	TRUE	TRUE	TRUE	Dimension Tunnel
Arthur	TRUE	TRUE	TRUE	TRUE	
Jennifer	FALSE	TRUE	TRUE	TRUE	Element Lord
Erika	TRUE	TRUE	TRUE	TRUE	
Allen	FALSE	TRUE	TRUE	TRUE	
Gro	TRUE	TRUE	TRUE	TRUE	Element Lord
Rosamond	FALSE	TRUE	TRUE	TRUE	Element Lord
Catherine	TRUE	TRUE	TRUE	TRUE	
Paula	TRUE	TRUE	TRUE	TRUE	
Hadi	TRUE	TRUE	TRUE	TRUE	
Ralph	FALSE	TRUE	TRUE	TRUE	Element Lord
O'Neil	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Cosette	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Dolvar	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Paul	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Wallis	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Issac	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Ariza	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Meniere	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Gruen	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Sahar	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Rudolph	FALSE	FALSE	FALSE	FALSE	Bounty Hall
Jessica	FALSE	TRUE	TRUE	FALSE	Bounty Hall
Nicole	FALSE	TRUE	TRUE	FALSE	
Pan	FALSE	TRUE	FALSE	FALSE	
Claudia	FALSE	TRUE	TRUE	FALSE	
Kadir	FALSE	TRUE	TRUE	FALSE	
Christie	FALSE	TRUE	TRUE	FALSE	
Anko	FALSE	TRUE	FALSE	FALSE	
Vera	FALSE	TRUE	TRUE	FALSE	
Richard	FALSE	TRUE	TRUE	FALSE	
Penny	FALSE	TRUE	FALSE	FALSE	
Torvi	FALSE	TRUE	TRUE	FALSE	
Kenshiro	FALSE	TRUE	FALSE	FALSE	
Lilani	FALSE	TRUE	TRUE	FALSE	
Lomax	FALSE	TRUE	TRUE	FALSE	
Livia	FALSE	TRUE	TRUE	FALSE	
Giselle	FALSE	TRUE	FALSE	FALSE	
Pedra	FALSE	TRUE	TRUE	FALSE	
