Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	40.9%	1 » 2	1,315,790	
2	44.7%	2 » 3	1,315,790	
3	48.4%	3 » 4	1,315,790	
4	52.1%	4 » 5	1,315,790	
5	55.8%	5 » 6	1,315,790	
6	59.5%	6 » 7	1,315,790	
7	63.2%	7 » 8	1,315,790	
8	67.0%	8 » 9	1,315,790	
9	70.7%	9 » 10	1,315,790	
10	74.4%	10 » 11	1,315,790	250,000
11	78.1%	11 » 12	1,315,790	250,000
12	81.8%	12 » 13	1,315,790	250,000
13	85.6%	13 » 14	1,315,790	250,000
14	89.3%	14 » 15	1,315,790	250,000
15	93.0%	15 » 16	1,315,790	250,000
16	96.7%	16 » 17	1,315,790	250,000
17	100.4%	17 » 18	1,315,790	250,000
18	104.1%	18 » 19	1,315,790	250,000
19	107.9%	19 » 20	1,315,790	250,000
20	111.6%			
