Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	124.7%	1 » 2	164,473,690	
2	136.1%	2 » 3	164,473,690	
3	147.4%	3 » 4	164,473,690	
4	158.7%	4 » 5	164,473,690	
5		5 » 6	164,473,690	
6		6 » 7	164,473,690	
7		7 » 8	164,473,690	
8		8 » 9	164,473,690	
9		9 » 10	164,473,690	
10		10 » 11	164,473,690	0
11		11 » 12	164,473,690	0
12		12 » 13	164,473,690	0
13		13 » 14	164,473,690	0
14		14 » 15	164,473,690	0
15		15 » 16	164,473,690	0
16		16 » 17	164,473,690	0
17		17 » 18	164,473,690	0
18		18 » 19	164,473,690	0
19		19 » 20	164,473,690	0
20				
