Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	13.5%	1 » 2	10,530	
2	14.7%	2 » 3	10,530	
3	15.9%	3 » 4	10,530	
4	17.1%	4 » 5	10,530	
5	18.3%	5 » 6	10,530	
6	19.6%	6 » 7	10,530	
7	20.8%	7 » 8	10,530	
8	22.0%	8 » 9	10,530	
9	23.2%	9 » 10	10,530	
10	24.4%	10 » 11	10,530	2,000
11	25.7%	11 » 12	10,530	2,000
12	26.9%	12 » 13	10,530	2,000
13	28.1%	13 » 14	10,530	2,000
14	29.3%	14 » 15	10,530	2,000
15	30.5%	15 » 16	10,530	2,000
16	31.8%	16 » 17	10,530	2,000
17	33.0%	17 » 18	10,530	2,000
18	34.2%	18 » 19	10,530	2,000
19	35.4%	19 » 20	10,530	2,000
20	36.6%			
