2	Stone	1	100	For every {{1}} {{2}} you use to upgrade your castle
4	N Hero Card	1	100	For every {{1}} {{2}}(s) spent
4	R Hero Card	1	700	For every {{1}} {{2}}(s) spent
4	SR Hero Card	1	3500	For every {{1}} {{2}}(s) spent
4	SSR Hero Card	1	14000	For every {{1}} {{2}}(s) spent
1	T1 Unit EXP Book	1	800	For every {{1}} {{2}} spent
1	T2 Unit EXP Book	1	4000	For every {{1}} {{2}} spent
1	T3 Unit EXP Book	1	20000	For every {{1}} {{2}} spent
1	T4 Unit EXP Book	1	100000	For every {{1}} {{2}} spent
3	Rare Dragon Rune	1	70	For every {{1}} {{2}} spent
3	Excellent Dragon Rune	1	700	For every {{1}} {{2}} spent
3	Perfect Dragon Rune	1	7000	For every {{1}} {{2}} spent
3	Epic Dragon Rune	1	14000	For every {{1}} {{2}} spent
5	Forge Hammer	1	100	For every {{1}} {{2}}(s) spent
5	Elemental Vial	1	700	For every {{1}} {{2}}(s) obtained via purchase
5	Blood of Titan	1	7000	For every {{1}} {{2}}(s) obtained via purchase
