Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	28.3%	1 » 2	263,160	
2	30.8%	2 » 3	263,160	
3	33.4%	3 » 4	263,160	
4	35.9%	4 » 5	263,160	
5	38.5%	5 » 6	263,160	
6	41.1%	6 » 7	263,160	
7	43.6%	7 » 8	263,160	
8	46.2%	8 » 9	263,160	
9	48.8%	9 » 10	263,160	
10	51.3%	10 » 11	263,160	50,000
11	53.9%	11 » 12	263,160	50,000
12	56.5%	12 » 13	263,160	50,000
13	59.0%	13 » 14	263,160	50,000
14	61.6%	14 » 15	263,160	50,000
15	64.1%	15 » 16	263,160	50,000
16	66.7%	16 » 17	263,160	50,000
17	69.3%	17 » 18	263,160	50,000
18	71.8%	18 » 19	263,160	50,000
19	74.4%	19 » 20	263,160	50,000
20	77.0%			
