Level	Power Bonus	Upgrade	Strengthening Potion	Fortune Potion
1	9.3%	1 » 2	2,110	
2	10.1%	2 » 3	2,110	
3	11.0%	3 » 4	2,110	
4	11.8%	4 » 5	2,110	
5	12.7%	5 » 6	2,110	
6	13.5%	6 » 7	2,110	
7	14.3%	7 » 8	2,110	
8	15.2%	8 » 9	2,110	
9	16.0%	9 » 10	2,110	
10	16.9%	10 » 11	2,110	400
11	17.7%	11 » 12	2,110	400
12	18.6%	12 » 13	2,110	400
13	19.4%	13 » 14	2,110	400
14	20.2%	14 » 15	2,110	400
15	21.1%	15 » 16	2,110	400
16	21.9%	16 » 17	2,110	400
17	22.8%	17 » 18	2,110	400
18	23.6%	18 » 19	2,110	400
19	24.4%	19 » 20	2,110	400
20	25.3%			
