Blueprint	2	Cerulean Dragon Armor
Blueprint	3	Demonic Dragon Armor
Blueprint	4	Immortal Dragon Armor
Blueprint	5	Legendary Dragon Armor
Blueprint	6	Balrog Dragon Armor
Blueprint	7	Dark Dragon Armor
Blueprint	8	Gilded Dragon Armor
Blueprint	9	IceFlame Dragon Armor
Blueprint	10	Ziwei Dragon Armor
Forge Blueprint	2	Dark-Iron Weapon
Forge Blueprint	3	Excellent Weapon
Forge Blueprint	4	Epic Weapon
Forge Blueprint	5	Legendary Weapon
Forge Blueprint	6	Peacock Plume Weapon
Forge Blueprint	7	Luxurious Weapon
Forge Blueprint	8	King's Weapon
Forge Blueprint	9	Thunder Weapon
Forge Blueprint	10	Sacred Light Weapon
Magic Book	1	Treant Guard 
Magic Book	2	Armored Shark 
Magic Book	3	Rainbow Pony 
Magic Book	4	Immortal Phoenix 
Magic Book	5	Imperial Sword 
Magic Book	6	Mucklu 
Magic Book	7	Pumpkin Catapult 
Magic Book	8	Crimson Dragon 
Magic Book	9	Vailian Spirit Armor 
Magic Dust	11	Magic Gem 
Magic Book	10	Sandstorm Reaper 
Forge Blueprint	11	Eternal Weapon
