Castle Level		Stone	Wood	Metal	Gold	
1000	»1001	725	140	5	1.9	M
1001	»1002	725	140	5	1.9	M
1002	»1003	725	140	5	1.9	M
1003	»1004	730	145	5	1.9	M
1004	»1005	730	145	5	1.9	M
1005	»1006	730	145	5	1.9	M
1006	»1007	730	145	5	1.9	M
1007	»1008	730	145	5	1.9	M
1008	»1009	730	145	5	1.9	M
1009	»1010	730	145	5	1.9	M
1010	»1011	730	145	5	1.9	M
1011	»1012	735	145	5	1.9	M
1012	»1013	735	145	5	1.9	M
1013	»1014	735	145	5	1.9	M
1014	»1015	735	145	5	1.9	M
1015	»1016	735	145	5	1.9	M
1016	»1017	735	145	10	1.9	M
1017	»1018	735	145	10	1.9	M
1018	»1019	735	145	10	1.9	M
1019	»1020	735	145	10	1.9	M
1020	»1021	735	145	10	1.9	M
1021	»1022	740	145	10	1.9	M
1022	»1023	740	145	10	1.9	M
1023	»1024	740	145	10	1.9	M
1024	»1025	740	145	10	1.9	M
1025	»1026	740	150	10	1.9	M
1026	»1027	740	150	10	1.9	M
1027	»1028	740	150	10	1.9	M
1028	»1029	740	150	10	1.9	M
1029	»1030	745	150	10	1.9	M
1030	»1031	745	150	10	1.9	M
1031	»1032	745	150	10	1.9	M
1032	»1033	745	150	10	1.9	M
1033	»1034	745	150	10	1.9	M
1034	»1035	745	150	10	1.9	M
1035	»1036	745	150	10	1.9	M
1036	»1037	745	150	10	1.9	M
1037	»1038	745	150	10	1.9	M
1038	»1039	750	150	10	1.9	M
1039	»1040	750	150	10	1.9	M
1040	»1041	750	150	10	1.9	M
1041	»1042	750	150	10	1.9	M
1042	»1043	750	150	15	1.9	M
1043	»1044	750	150	15	1.9	M
1044	»1045	750	150	15	1.9	M
1045	»1046	750	150	15	1.9	M
1046	»1047	750	150	15	1.9	M
1047	»1048	755	150	15	1.9	M
1048	»1049	755	155	15	1.9	M
1049	»1050	755	155	15	1.9	M
1050	»1051	755	155	15	1.9	M
1051	»1052	755	155	15	1.9	M
1052	»1053	755	155	15	1.9	M
1053	»1054	755	155	15	1.9	M
1054	»1055	760	155	15	1.9	M
1055	»1056	760	155	15	1.9	M
1056	»1057	760	155	15	1.9	M
1057	»1058	760	155	15	1.9	M
1058	»1059	760	155	15	1.9	M
1059	»1060	760	155	15	1.9	M
1060	»1061	760	155	15	1.9	M
